level_id,episode,mission,vertex_1,vertex_2,angle,line,side,offset
12,2,3,29,30,-16384,26,0,0
12,2,3,31,32,-32768,27,0,0
12,2,3,670,29,0,686,0,0
12,2,3,32,689,16384,783,0,0
12,2,3,810,689,0,709,0,64
12,2,3,689,32,-16384,783,1,0
12,2,3,667,668,0,681,0,0
12,2,3,669,670,-16384,682,0,0
12,2,3,668,669,0,689,0,0
12,2,3,689,667,16384,710,0,0
12,2,3,668,673,16384,687,0,0
12,2,3,673,674,0,688,0,0
12,2,3,669,668,-32768,689,1,0
12,2,3,674,675,-16384,690,0,0
12,2,3,675,669,-32768,691,0,0
12,2,3,26,27,-16384,24,0,0
12,2,3,33,31,16384,28,0,0
12,2,3,27,556,-32768,501,0,0
12,2,3,30,26,-16384,504,0,0
12,2,3,30,545,0,482,0,0
12,2,3,545,546,-16384,483,0,0
12,2,3,552,553,-16384,490,0,0
12,2,3,553,26,-32768,491,0,0
12,2,3,546,552,-16384,499,0,0
12,2,3,26,30,16384,504,1,0
12,2,3,34,33,0,29,0,0
12,2,3,554,555,-32768,492,0,0
12,2,3,556,554,-32768,500,0,0
12,2,3,32,671,-16384,683,0,0
12,2,3,671,672,-32768,684,0,0
12,2,3,556,557,-16384,493,0,0
12,2,3,557,558,-32768,494,0,0
12,2,3,558,554,16384,495,0,0
12,2,3,554,556,0,500,1,0
12,2,3,9,10,-16384,9,0,0
12,2,3,28,8,16384,25,0,0
12,2,3,549,28,16384,496,0,0
12,2,3,10,25,-16384,502,0,0
12,2,3,84,83,-32768,662,1,0
12,2,3,8,9,0,665,0,0
12,2,3,25,749,-16384,807,0,0
12,2,3,749,84,-16384,808,0,0
12,2,3,83,750,16384,809,0,0
12,2,3,750,549,16384,810,0,0
12,2,3,2,3,0,2,0,0
12,2,3,3,4,-16384,3,0,0
12,2,3,5,6,16384,4,0,0
12,2,3,6,7,0,5,0,0
12,2,3,8,5,16384,7,0,0
12,2,3,4,9,-16384,8,0,0
12,2,3,9,8,-32768,665,1,0
12,2,3,0,1,0,0,0,0
12,2,3,1,2,-16384,1,0,0
12,2,3,7,0,16384,6,0,0
12,2,3,548,28,0,486,0,0
12,2,3,549,550,-32768,487,0,0
12,2,3,28,549,-16384,496,1,0
12,2,3,550,548,16384,497,0,0
12,2,3,546,547,0,484,0,0
12,2,3,551,552,-32768,489,0,0
12,2,3,547,551,-16384,498,0,0
12,2,3,552,546,16384,499,1,0
12,2,3,547,548,0,485,0,0
12,2,3,550,551,-32768,488,0,0
12,2,3,548,550,-16384,497,1,0
12,2,3,551,547,16384,498,1,0
12,2,3,37,38,8192,31,0,0
12,2,3,41,39,-32768,33,0,0
12,2,3,45,46,-32768,36,0,0
12,2,3,52,49,-32768,43,0,0
12,2,3,811,37,16384,60,0,432
12,2,3,38,83,0,73,0,0
12,2,3,83,84,0,662,0,0
12,2,3,46,41,-32768,905,0,0
12,2,3,49,45,-32768,906,0,0
12,2,3,53,52,-32768,907,0,0
12,2,3,65,812,0,57,0,0
12,2,3,67,813,16384,60,0,0
12,2,3,68,67,24576,61,0,0
12,2,3,814,75,-32768,67,0,32
12,2,3,76,68,-32768,68,0,0
12,2,3,75,76,-32768,663,0,0
12,2,3,48,47,0,38,0,0
12,2,3,50,51,0,41,0,0
12,2,3,58,57,0,49,0,0
12,2,3,59,58,16384,50,0,0
12,2,3,815,59,-32768,51,0,160
12,2,3,57,48,0,901,0,0
12,2,3,47,50,0,902,0,0
12,2,3,51,54,0,903,0,0
12,2,3,816,66,-16384,59,0,16
12,2,3,813,817,16384,60,0,176
12,2,3,66,65,-8192,58,0,0
12,2,3,47,45,16384,37,0,0
12,2,3,49,50,-16384,40,0,0
12,2,3,50,47,-32768,902,1,0
12,2,3,45,49,0,906,1,0
12,2,3,51,52,16384,42,0,0
12,2,3,53,54,-16384,44,0,0
12,2,3,54,51,-32768,903,1,0
12,2,3,52,53,0,907,1,0
12,2,3,46,48,-16384,39,0,0
12,2,3,57,41,16384,48,0,0
12,2,3,48,57,-32768,901,1,0
12,2,3,41,46,0,905,1,0
12,2,3,39,40,-24576,32,0,0
12,2,3,817,811,16384,60,0,400
12,2,3,40,816,-16384,59,0,0
12,2,3,113,93,16384,924,0,0
12,2,3,92,93,0,81,0,0
12,2,3,113,114,-32768,94,0,0
12,2,3,91,92,0,114,0,0
12,2,3,93,113,-16384,924,1,0
12,2,3,85,86,-24576,75,0,0
12,2,3,86,87,-32768,76,0,0
12,2,3,88,89,0,77,0,0
12,2,3,90,88,8192,78,0,0
12,2,3,818,90,16384,79,0,48
12,2,3,819,85,-16384,814,0,16
12,2,3,76,75,0,663,1,0
12,2,3,89,751,16384,811,0,0
12,2,3,751,76,16384,812,0,0
12,2,3,75,752,-16384,813,0,0
12,2,3,752,819,-16384,814,0,0
12,2,3,91,818,16384,79,0,0
12,2,3,87,92,-16384,80,0,0
12,2,3,92,91,-32768,114,1,0
12,2,3,94,95,0,82,0,0
12,2,3,95,581,-16384,550,0,0
12,2,3,93,94,16384,820,0,0
12,2,3,304,583,-32768,552,0,0
12,2,3,584,585,0,553,0,0
12,2,3,583,584,16384,746,0,0
12,2,3,585,304,-16384,896,0,0
12,2,3,581,582,-16384,554,0,0
12,2,3,582,581,16384,554,1,0
12,2,3,581,584,0,744,0,0
12,2,3,583,582,-32768,745,0,0
12,2,3,584,583,-16384,746,1,0
12,2,3,585,702,11547,739,0,0
12,2,3,702,703,0,740,0,0
12,2,3,703,305,-11547,741,0,0
12,2,3,305,585,-32768,897,0,0
12,2,3,305,306,-16384,254,0,0
12,2,3,569,304,-32768,525,1,0
12,2,3,570,569,-32768,526,1,0
12,2,3,571,570,-32768,527,1,0
12,2,3,306,571,-32768,528,1,0
12,2,3,304,585,16384,896,1,0
12,2,3,585,305,0,897,1,0
12,2,3,264,820,0,224,0,0
12,2,3,821,264,16384,612,0,144
12,2,3,301,302,16384,251,0,0
12,2,3,302,575,0,533,0,0
12,2,3,580,301,-32768,540,0,0
12,2,3,575,580,-16384,543,0,0
12,2,3,302,303,16384,252,0,0
12,2,3,303,572,0,529,0,0
12,2,3,575,302,-32768,533,1,0
12,2,3,572,575,-16384,542,0,0
12,2,3,303,304,16384,253,0,0
12,2,3,304,569,0,525,0,0
12,2,3,572,303,-32768,529,1,0
12,2,3,569,572,-16384,541,0,0
12,2,3,575,576,0,534,0,0
12,2,3,579,580,-32768,539,0,0
12,2,3,580,575,16384,543,1,0
12,2,3,576,579,-16384,546,0,0
12,2,3,572,573,0,530,0,0
12,2,3,576,575,-32768,534,1,0
12,2,3,575,572,16384,542,1,0
12,2,3,573,576,-16384,545,0,0
12,2,3,569,570,0,526,0,0
12,2,3,573,572,-32768,530,1,0
12,2,3,572,569,16384,541,1,0
12,2,3,570,573,-16384,544,0,0
12,2,3,576,577,0,535,0,0
12,2,3,578,579,-32768,538,0,0
12,2,3,579,576,16384,546,1,0
12,2,3,577,578,-16384,549,0,0
12,2,3,573,574,0,531,0,0
12,2,3,577,576,-32768,535,1,0
12,2,3,576,573,16384,545,1,0
12,2,3,574,577,-16384,548,0,0
12,2,3,570,571,0,527,0,0
12,2,3,574,573,-32768,531,1,0
12,2,3,573,570,16384,544,1,0
12,2,3,571,574,-16384,547,0,0
12,2,3,309,307,-16384,256,0,0
12,2,3,577,309,0,536,0,0
12,2,3,307,578,-32768,537,0,0
12,2,3,578,577,16384,549,1,0
12,2,3,310,309,-16384,257,0,0
12,2,3,574,310,0,532,0,0
12,2,3,309,577,-32768,536,1,0
12,2,3,577,574,16384,548,1,0
12,2,3,306,310,-16384,258,0,0
12,2,3,571,306,0,528,0,0
12,2,3,310,574,-32768,532,1,0
12,2,3,574,571,16384,547,1,0
12,2,3,822,266,-32768,225,0,352
12,2,3,266,267,24576,226,0,0
