episode,mission,vertex_1,vertex_2,flags,action_special,sector_tag,front_side,back_side
1,2,0,1,1,0,0,0,65535
1,2,2,0,1,0,0,1,65535
1,2,3,4,1,0,0,2,65535
1,2,5,6,1,0,0,3,65535
1,2,6,7,1,0,0,4,65535
1,2,8,9,1,0,0,5,65535
1,2,10,11,1,0,0,6,65535
1,2,12,13,1,0,0,7,65535
1,2,14,15,1,0,0,8,65535
1,2,16,17,6,0,0,9,10
1,2,18,10,1,0,0,11,65535
1,2,19,20,1,0,0,12,65535
1,2,21,22,1,0,0,13,65535
1,2,22,23,1,0,0,14,65535
1,2,24,25,1,0,0,15,65535
1,2,26,27,1,0,0,16,65535
1,2,28,29,1,0,0,17,65535
1,2,30,28,1,0,0,18,65535
1,2,31,32,1,0,0,19,65535
1,2,33,34,1,0,0,20,65535
1,2,35,36,1,0,0,21,65535
1,2,37,38,1,0,0,22,65535
1,2,39,40,1,0,0,23,65535
1,2,40,41,1,0,0,24,65535
1,2,41,42,1,0,0,25,65535
1,2,42,43,1,0,0,26,65535
1,2,43,44,1,0,0,27,65535
1,2,44,45,1,0,0,28,65535
1,2,45,46,1,0,0,29,65535
1,2,46,47,1,0,0,30,65535
1,2,48,49,1,0,0,31,65535
1,2,50,51,1,0,0,32,65535
1,2,52,53,1,0,0,33,65535
1,2,54,52,1,0,0,34,65535
1,2,55,56,1,0,0,35,65535
1,2,57,55,1,0,0,36,65535
1,2,58,57,1,0,0,37,65535
1,2,59,60,1,0,0,38,65535
1,2,56,59,1,0,0,39,65535
1,2,61,54,1,0,0,40,65535
1,2,60,61,1,0,0,41,65535
1,2,62,63,1,0,0,42,65535
1,2,63,64,1,0,0,43,65535
1,2,64,65,1,0,0,44,65535
1,2,66,67,1,0,0,45,65535
1,2,67,68,1,0,0,46,65535
1,2,68,69,1,0,0,47,65535
1,2,69,70,1,0,0,48,65535
1,2,70,71,1,0,0,49,65535
1,2,71,72,1,0,0,50,65535
1,2,72,73,1,0,0,51,65535
1,2,65,74,1,0,0,52,65535
1,2,74,50,1,0,0,53,65535
1,2,75,76,1,0,0,54,65535
1,2,76,77,1,0,0,55,65535
1,2,77,78,1,0,0,56,65535
1,2,78,79,1,0,0,57,65535
1,2,79,80,1,0,0,58,65535
1,2,80,81,1,0,0,59,65535
1,2,81,82,1,0,0,60,65535
1,2,82,83,1,0,0,61,65535
1,2,84,85,1,0,0,62,65535
1,2,85,86,1,0,0,63,65535
1,2,86,87,1,0,0,64,65535
1,2,87,88,1,0,0,65,65535
1,2,88,89,1,0,0,66,65535
1,2,23,90,1,0,0,67,65535
1,2,90,91,1,0,0,68,65535
1,2,91,92,1,0,0,69,65535
1,2,92,93,1,0,0,70,65535
1,2,93,94,1,0,0,71,65535
1,2,94,95,1,0,0,72,65535
1,2,95,96,1,0,0,73,65535
1,2,96,97,1,0,0,74,65535
1,2,98,99,1,0,0,75,65535
1,2,100,101,1,0,0,76,65535
1,2,101,102,1,0,0,77,65535
1,2,102,103,1,0,0,78,65535
1,2,104,98,1,0,0,79,65535
1,2,105,106,1,0,0,80,65535
1,2,107,105,1,0,0,81,65535
1,2,108,107,1,0,0,82,65535
1,2,109,108,1,0,0,83,65535
1,2,110,109,1,0,0,84,65535
1,2,103,111,1,0,0,85,65535
1,2,111,112,1,0,0,86,65535
1,2,112,113,1,0,0,87,65535
1,2,114,115,1,0,0,88,65535
1,2,115,116,1,0,0,89,65535
1,2,116,117,1,0,0,90,65535
1,2,117,75,1,0,0,91,65535
1,2,97,118,1,0,0,92,65535
1,2,118,119,1,0,0,93,65535
1,2,119,120,1,0,0,94,65535
1,2,121,122,1,0,0,95,65535
1,2,123,110,1,0,0,96,65535
1,2,49,62,1,0,0,97,65535
1,2,124,21,12,0,0,98,99
1,2,125,126,1,0,0,100,65535
1,2,127,128,6,0,0,101,102
1,2,128,129,1,0,0,103,65535
1,2,129,130,1,0,0,104,65535
1,2,130,14,1,0,0,105,65535
1,2,131,132,1,0,0,106,65535
1,2,132,133,1,0,0,107,65535
1,2,133,134,1,0,0,108,65535
1,2,134,135,6,0,0,109,110
1,2,136,137,17,0,0,111,65535
1,2,138,139,9,0,0,112,65535
1,2,140,84,17,0,0,113,65535
1,2,141,142,1,0,0,114,65535
1,2,143,140,1,0,0,115,65535
1,2,144,131,4,0,0,116,117
1,2,145,144,4,0,0,118,119
1,2,14,145,4,0,0,120,121
