episode,mission,partition_x,partition_y,partition_x_diff,partition_y_diff,rbox_top,rbox_bottom,rbox_left,rbox_right,lbox_top,lbox_bottom,lbox_left,lbox_right,rchild,lchild
3,5,-1408,-896,-64,0,-832,-896,-1472,-1408,-896,-1024,-1472,-1280,32768,32769
3,5,-1408,-832,0,-64,-832,-896,-1472,-1408,-960,-1024,-1344,-1280,32771,32772
3,5,-1216,-1024,0,192,-832,-1024,-1216,-1032,-832,-1024,-1472,-1280,32770,1
3,5,-1408,-896,64,-64,-832,-1024,-1472,-1280,-832,-1024,-1472,-1032,0,2
3,5,-1024,-1024,0,192,-832,-1024,-1024,-832,-832,-1024,-1032,-1024,32773,32774
3,5,-1032,-832,0,-192,-832,-1024,-1472,-1032,-832,-1024,-1032,-832,3,4
3,5,-960,-808,64,0,-808,-832,-960,-896,-792,-808,-960,-896,32777,32778
3,5,-896,-792,-64,0,-768,-792,-960,-896,-792,-832,-960,-896,32776,6
3,5,-832,-768,-64,0,-512,-768,-960,-832,-768,-832,-960,-896,32775,7
3,5,-960,-768,-64,0,-512,-768,-1024,-960,-816,-824,-1016,-968,32779,32780
3,5,-984,-824,0,-8,-824,-832,-1000,-984,-824,-832,-984,-976,32782,32783
3,5,-1000,-824,0,-8,-824,-832,-1008,-1000,-824,-832,-1000,-976,32781,10
3,5,-1008,-824,-8,0,-512,-824,-1024,-960,-824,-832,-1008,-976,9,11
3,5,-1344,-768,-64,-64,-608,-832,-1472,-1344,-768,-768,-1344,-1280,32785,32786
3,5,-1216,-832,-64,64,-512,-832,-1440,-1088,-608,-832,-1472,-1280,32784,13
3,5,-1024,-768,0,256,-512,-832,-1024,-960,-512,-832,-1472,-1088,12,14
3,5,-960,-832,0,24,-512,-832,-960,-832,-512,-832,-1472,-960,8,15
3,5,-976,-832,16,0,-832,-1024,-1472,-832,-512,-832,-1472,-832,5,16
3,5,-832,-1040,-128,0,-1024,-1040,-960,-832,-1040,-1056,-960,-832,32787,32788
3,5,-1000,-1032,0,8,-1024,-1032,-1000,-984,-1024,-1032,-1008,-1000,32790,32791
3,5,-984,-1024,0,-8,-1024,-1032,-1008,-984,-1024,-1032,-984,-976,19,32792
3,5,-976,-1032,8,0,-1032,-1040,-1016,-968,-1024,-1032,-1008,-976,32789,20
3,5,-960,-1056,0,16,-1024,-1056,-960,-832,-1024,-1040,-1016,-968,18,21
