episode,mission,floor_height,ceiling_height,sector_floor,sector_ceil,light_level,special,tag
1,4,128,256,FLAT5_5,MFLR8_1,176,0,0
1,4,128,296,FLAT5_5,FLOOR7_2,160,0,0
1,4,128,200,FLAT5_5,FLAT5_4,240,1,0
1,4,128,328,FLAT5_5,FLOOR7_2,192,0,0
1,4,128,200,FLAT5_5,FLAT5_4,240,1,0
1,4,112,232,NUKAGE3,FLOOR7_2,160,7,0
1,4,136,328,FLOOR5_1,CEIL5_1,176,0,0
1,4,112,232,NUKAGE3,FLOOR7_2,160,7,0
1,4,136,232,FLOOR5_1,FLOOR7_2,144,0,0
1,4,136,248,FLOOR5_1,CEIL3_5,144,0,0
1,4,144,144,FLOOR5_1,FLAT20,144,0,1
1,4,128,200,FLAT5_5,FLAT5_4,240,1,0
1,4,128,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,96,208,FLOOR4_1,FLOOR7_2,144,0,0
1,4,104,184,FLOOR4_1,FLOOR4_8,112,0,0
1,4,112,200,FLOOR4_1,FLOOR4_8,128,0,0
1,4,112,296,FLOOR7_2,FLOOR7_2,160,0,0
1,4,104,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,128,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,128,184,FLAT5_5,FLOOR4_8,144,0,0
1,4,128,200,FLOOR4_1,FLOOR4_8,112,0,0
1,4,128,208,FLAT5_5,FLOOR7_2,160,0,0
1,4,192,328,FLOOR6_2,FLOOR7_2,192,0,0
1,4,144,328,FLOOR6_2,FLOOR7_2,176,0,0
1,4,160,328,FLOOR6_2,FLOOR7_2,192,0,0
1,4,176,328,FLOOR6_2,FLOOR7_2,192,0,0
1,4,128,224,FLAT5_5,FLOOR7_2,176,0,0
1,4,128,128,FLAT5_5,FLAT20,144,0,0
1,4,112,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,128,224,FLAT5_5,FLOOR7_2,144,0,0
1,4,128,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,104,184,FLOOR4_1,FLOOR4_8,128,0,0
1,4,104,200,FLOOR4_5,FLOOR7_2,128,0,0
1,4,112,200,FLOOR4_5,FLOOR7_2,128,0,0
1,4,120,200,FLOOR4_5,FLOOR7_2,128,0,0
1,4,136,264,FLOOR4_1,TLITE6_6,255,0,0
1,4,128,200,FLOOR4_5,FLOOR7_2,128,0,0
1,4,128,376,FLOOR5_3,FLAT5_4,128,0,0
1,4,192,376,FLOOR4_8,FLAT5_4,128,0,0
1,4,136,208,FLOOR4_1,TLITE6_6,255,0,0
1,4,136,208,FLOOR4_1,FLOOR7_2,160,0,0
1,4,136,136,FLOOR4_1,FLAT20,144,0,3
1,4,40,296,NUKAGE3,FLOOR7_2,176,7,0
1,4,64,296,FLOOR4_1,FLOOR7_2,176,0,0
1,4,88,296,FLOOR4_1,FLOOR7_2,176,0,0
1,4,112,176,FLOOR7_2,FLOOR7_2,160,0,0
1,4,200,256,CEIL5_1,CEIL5_1,255,0,0
1,4,112,296,FLOOR4_1,FLOOR7_2,176,0,0
1,4,136,296,FLOOR7_2,FLOOR7_2,160,0,0
1,4,136,328,FLAT14,TLITE6_5,192,12,0
1,4,328,400,FLAT14,TLITE6_6,255,0,9
1,4,136,200,FLAT14,CEIL5_1,128,0,0
1,4,128,328,FLOOR4_8,TLITE6_5,255,8,2
1,4,192,376,FLOOR4_8,CEIL3_5,160,0,0
1,4,192,304,FLOOR4_8,CEIL3_5,224,2,0
1,4,192,264,FLOOR4_8,CEIL3_5,160,0,0
1,4,192,248,FLOOR4_8,FLAT23,160,0,0
1,4,192,264,FLOOR4_8,FLAT5_4,160,0,0
1,4,192,192,FLOOR4_8,FLAT20,160,0,0
1,4,136,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,144,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,152,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,160,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,168,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,176,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,184,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,192,376,FLOOR5_3,FLAT5_4,160,0,0
1,4,128,240,FLAT5,CEIL5_1,160,0,0
1,4,128,240,FLAT5,CEIL5_1,160,0,0
1,4,128,128,FLAT5,FLAT20,160,0,0
1,4,0,256,FLAT5,F_SKY1,192,0,0
1,4,0,224,FLAT5,CEIL5_2,160,0,0
1,4,0,72,FLAT5,FLAT2,208,0,0
1,4,0,72,FLAT5,FLOOR7_2,208,0,0
1,4,0,0,FLAT5,FLAT20,208,0,0
1,4,0,72,FLAT5,FLOOR7_2,160,9,0
1,4,0,0,FLAT5,FLAT20,144,0,0
1,4,0,256,FLAT5,CEIL5_2,144,0,0
1,4,104,168,FLAT14,TLITE6_6,224,0,0
1,4,0,168,STEP1,TLITE6_5,255,8,4
1,4,104,104,FLAT14,FLAT23,224,0,7
1,4,104,160,FLAT14,TLITE6_5,255,8,0
1,4,128,216,FLOOR5_3,CEIL5_2,160,0,0
1,4,136,200,FLOOR7_1,CEIL5_2,160,0,0
1,4,0,72,FLAT5,FLOOR7_2,144,0,0
1,4,128,208,FLOOR5_3,CEIL5_2,160,0,0
1,4,136,200,FLOOR7_1,CEIL5_2,160,0,0
1,4,8,200,FLOOR4_8,FLOOR4_8,144,0,0
1,4,128,200,STEP2,FLOOR4_8,144,0,3
1,4,0,192,FLAT5,FLOOR7_2,144,0,0
1,4,8,128,FLOOR4_8,CEIL5_1,240,8,0
1,4,24,144,FLAT14,CEIL5_1,176,13,0
1,4,24,144,FLAT14,CEIL5_1,176,13,0
1,4,0,96,FLAT5,CEIL5_2,160,0,0
1,4,72,136,FLAT14,CEIL5_1,208,1,0
1,4,-64,128,NUKAGE3,FLOOR7_2,160,7,0
1,4,0,128,FLOOR5_2,FLOOR7_2,128,0,0
1,4,0,128,FLOOR5_2,FLOOR7_2,160,0,0
1,4,-64,0,NUKAGE3,FLOOR7_1,160,7,0
1,4,-56,184,FLAT5,FLOOR6_2,160,9,0
1,4,-56,184,STEP2,FLOOR6_2,160,0,6
1,4,-56,16,FLAT5,FLOOR7_1,160,0,0
1,4,120,184,FLAT5,FLOOR6_2,160,9,0
1,4,144,336,FLOOR5_1,CEIL3_5,112,0,0
1,4,136,232,FLOOR5_1,FLOOR7_2,144,0,0
1,4,136,248,FLOOR5_1,CEIL3_5,144,0,0
1,4,144,144,FLOOR5_1,FLAT20,144,0,1
1,4,112,232,NUKAGE3,FLOOR7_2,160,7,0
1,4,136,200,FLOOR5_1,CEIL5_2,160,0,0
1,4,80,136,CEIL5_1,CEIL5_1,208,0,0
1,4,-64,0,NUKAGE3,FLOOR7_1,160,7,0
1,4,-56,184,FLAT5,FLOOR7_1,160,0,0
1,4,-56,16,FLAT5,FLOOR7_1,160,0,0
1,4,48,200,FLOOR5_4,FLAT5_4,144,0,0
1,4,120,184,STEP1,FLOOR7_1,160,0,8
1,4,120,184,FLOOR5_2,FLOOR7_1,160,0,0
1,4,72,200,FLOOR5_4,FLAT5_4,144,0,0
1,4,96,200,FLOOR5_4,FLAT5_4,144,0,0
1,4,120,200,FLOOR5_4,FLAT5_4,160,0,0
1,4,0,128,FLAT5,FLAT5_4,160,0,0
1,4,24,200,FLOOR5_4,FLAT5_4,144,0,0
1,4,0,96,FLAT5,FLAT5_4,128,0,0
1,4,160,184,FLOOR7_2,FLOOR7_2,160,0,0
1,4,160,184,FLOOR7_2,FLOOR7_2,160,0,0
1,4,112,200,FLAT5_4,CEIL5_2,160,0,0
1,4,16,200,FLAT5_4,CEIL5_2,255,0,0
1,4,32,200,FLAT5_4,CEIL5_2,160,0,0
1,4,48,200,FLAT5_4,CEIL5_2,160,0,0
1,4,64,200,FLAT5_4,CEIL5_2,160,0,0
1,4,80,200,FLAT5_4,CEIL5_2,160,0,0
1,4,96,200,FLAT5_4,CEIL5_2,160,0,0
1,4,136,232,FLOOR5_1,FLOOR7_2,144,0,0
1,4,136,248,FLOOR5_1,CEIL3_5,144,0,0
1,4,144,144,FLOOR5_1,FLAT20,144,0,1
1,4,144,336,FLOOR5_1,CEIL3_5,176,0,0
1,4,112,232,NUKAGE3,FLOOR7_2,160,7,0
1,4,136,232,FLOOR5_1,FLOOR7_2,144,0,0
1,4,136,248,FLOOR5_1,CEIL3_5,144,0,0
1,4,144,144,FLOOR5_1,FLAT20,144,0,1
