episode,mission,vertex_1,vertex_2,angle,line,side,offset
2,8,68,69,8192,88,0,0
2,8,94,95,24576,111,0,0
2,8,95,68,16384,139,0,0
2,8,173,170,-16384,193,0,0
2,8,68,95,-16384,139,1,0
2,8,186,65,0,85,0,96
2,8,65,183,-16384,213,0,0
2,8,69,70,16384,89,0,0
2,8,183,68,0,212,0,0
2,8,139,141,-16384,161,0,0
2,8,170,171,0,190,0,0
2,8,171,172,16384,191,0,0
2,8,172,173,-32768,192,0,0
2,8,187,188,-16384,144,0,1216
2,8,140,138,16384,159,0,0
2,8,138,139,-32768,158,0,0
2,8,145,144,0,164,0,0
2,8,141,140,0,160,0,0
2,8,77,78,-25521,96,0,0
2,8,78,79,27131,97,0,0
2,8,79,189,-32768,98,0,0
2,8,73,74,0,92,0,0
2,8,72,77,24576,199,0,0
2,8,70,71,22020,90,0,0
2,8,71,72,9137,91,0,0
2,8,143,145,-16384,165,0,0
2,8,190,187,-16384,144,0,704
2,8,144,142,16384,163,0,0
2,8,142,143,-32768,162,0,0
2,8,74,75,16384,93,0,0
2,8,191,190,-16384,144,0,192
2,8,75,76,-32768,94,0,0
2,8,161,160,0,180,0,0
2,8,76,73,-16384,95,0,0
2,8,124,192,-16384,144,0,0
2,8,193,124,-5438,145,0,249
2,8,158,159,-32768,178,0,0
2,8,192,191,-16384,144,0,64
2,8,160,158,16384,179,0,0
2,8,159,161,-16384,181,0,0
2,8,90,87,-32768,107,0,0
2,8,86,91,8192,198,0,0
2,8,87,88,-16384,104,0,0
2,8,130,131,-32768,150,0,0
2,8,89,90,16384,106,0,0
2,8,188,194,-16384,144,0,2576
2,8,88,89,0,105,0,0
2,8,194,125,-16384,144,0,3072
2,8,125,195,-26709,149,0,0
2,8,132,130,16384,151,0,0
2,8,195,196,-26709,149,0,1148
2,8,133,132,0,152,0,0
2,8,131,133,-16384,153,0,0
2,8,84,85,5875,102,0,0
2,8,85,86,-7246,103,0,0
2,8,197,84,0,101,0,112
2,8,62,63,16384,81,0,0
2,8,63,64,13028,84,0,0
2,8,67,62,19739,87,0,0
2,8,64,67,-16384,143,0,0
2,8,12,11,16384,11,1,0
2,8,63,62,-16384,81,1,0
2,8,62,12,-32768,82,0,0
2,8,11,63,0,83,0,0
2,8,91,92,23630,108,0,0
2,8,92,93,10747,109,0,0
2,8,64,186,0,85,0,0
2,8,66,67,-32768,86,0,0
2,8,67,64,16384,143,1,0
2,8,182,66,-16384,211,0,0
2,8,93,94,16384,110,0,0
2,8,95,182,-32768,210,0,0
2,8,101,102,-32768,116,0,0
2,8,100,105,-8192,201,0,0
2,8,98,99,-10747,114,0,0
2,8,99,100,-23630,115,0,0
2,8,148,146,16384,167,0,0
2,8,105,198,7390,120,0,0
2,8,199,200,16384,147,0,704
2,8,147,149,-16384,169,0,0
2,8,146,147,-32768,166,0,0
2,8,149,148,0,168,0,0
2,8,102,103,-16384,117,0,0
2,8,201,199,16384,147,0,64
2,8,103,104,0,118,0,0
2,8,134,135,-32768,154,0,0
2,8,104,101,16384,119,0,0
2,8,129,202,26759,148,0,0
2,8,196,129,-26709,149,0,1607
2,8,136,134,16384,155,0,0
2,8,202,203,26757,148,0,582
2,8,137,136,0,156,0,0
2,8,128,201,16384,147,0,0
2,8,203,128,26757,148,0,1762
2,8,135,137,-16384,157,0,0
2,8,83,197,0,101,0,0
2,8,107,108,0,122,0,0
2,8,164,165,-32768,184,0,0
2,8,162,163,0,182,0,0
2,8,163,164,16384,183,0,0
2,8,165,162,-16384,185,0,0
2,8,56,57,-3355,75,0,0
2,8,60,61,3355,78,0,0
2,8,61,56,0,80,0,0
2,8,57,60,-32768,142,0,0
2,8,0,15,0,15,1,0
2,8,15,56,-16384,74,0,0
2,8,61,0,16384,79,0,0
2,8,56,61,-32768,80,1,0
2,8,57,58,-16384,76,0,0
2,8,59,60,16384,77,0,0
2,8,60,57,0,142,1,0
2,8,58,180,-32768,206,0,0
2,8,181,59,-32768,209,0,0
2,8,82,83,-8192,100,0,0
2,8,108,109,8192,123,0,0
2,8,109,82,0,138,0,0
2,8,82,109,-32768,138,1,0
2,8,180,82,-16384,207,0,0
2,8,109,181,16384,208,0,0
2,8,204,98,-16384,113,0,112
2,8,198,106,7410,120,0,416
2,8,106,107,-6011,121,0,0
2,8,17,18,16384,21,0,0
2,8,23,22,-16384,27,0,0
2,8,21,22,-32768,26,1,0
2,8,22,23,16384,27,1,0
2,8,23,24,0,28,1,0
2,8,24,21,-16384,31,0,0
2,8,16,17,0,20,0,0
2,8,18,19,-32768,22,0,0
2,8,19,16,-16384,23,0,0
2,8,17,16,-32768,20,1,0
2,8,18,17,-16384,21,1,0
2,8,19,18,0,22,1,0
2,8,16,19,16384,23,1,0
2,8,20,21,-32768,25,1,0
2,8,24,25,0,29,1,0
2,8,21,24,16384,31,1,0
2,8,25,20,-16384,59,0,0
2,8,10,13,-16384,18,0,0
2,8,13,20,-32768,24,1,0
2,8,25,10,0,30,1,0
2,8,20,25,16384,59,1,0
2,8,10,11,0,10,0,0
2,8,11,12,-16384,11,0,0
2,8,12,13,-32768,12,0,0
2,8,13,10,16384,18,1,0
2,8,40,41,-32768,53,0,0
2,8,40,39,-16384,52,1,0
2,8,41,40,0,53,1,0
2,8,42,41,16384,54,1,0
2,8,39,42,-32768,58,0,0
2,8,39,38,-16384,51,1,0
2,8,43,42,16384,55,1,0
2,8,38,43,-32768,57,0,0
2,8,42,39,0,58,1,0
2,8,14,1,-32768,19,0,0
2,8,38,14,-16384,50,1,0
2,8,1,43,16384,56,1,0
2,8,43,38,0,57,1,0
2,8,0,1,16384,0,0,0
2,8,14,15,-16384,14,0,0
2,8,15,0,-32768,15,0,0
2,8,1,14,0,19,1,0
2,8,13,14,-24576,13,0,0
2,8,20,13,0,24,0,0
2,8,21,20,0,25,0,0
2,8,22,21,0,26,0,0
2,8,14,38,16384,50,0,0
2,8,38,39,16384,51,0,0
2,8,39,40,16384,52,0,0
2,8,1,2,24576,1,0,0
2,8,2,32,0,41,0,0
2,8,32,33,0,42,0,0
2,8,33,34,0,43,0,0
2,8,41,42,-16384,54,0,0
2,8,42,43,-16384,55,0,0
2,8,43,1,-16384,56,0,0
2,8,34,35,16384,44,0,0
2,8,34,33,-32768,43,1,0
2,8,35,34,-16384,44,1,0
2,8,36,35,0,45,1,0
2,8,33,36,16384,49,0,0
2,8,33,32,-32768,42,1,0
2,8,37,36,0,46,1,0
2,8,32,37,16384,48,0,0
2,8,36,33,-16384,49,1,0
2,8,2,5,16384,16,0,0
2,8,32,2,-32768,41,1,0
2,8,5,37,0,47,1,0
2,8,37,32,-16384,48,1,0
2,8,4,5,0,4,0,0
2,8,5,2,-16384,16,1,0
2,8,50,51,-19739,68,0,0
2,8,55,50,-16384,73,0,0
2,8,51,205,16384,141,0,0
2,8,2,3,-32768,2,0,0
2,8,3,4,16384,3,0,0
2,8,4,3,-16384,3,1,0
2,8,3,50,-32768,67,0,0
2,8,55,4,0,72,0,0
2,8,50,55,16384,73,1,0
2,8,96,97,-24576,112,0,0
2,8,206,96,-16384,137,0,16
2,8,167,207,16384,187,0,0
2,8,96,206,16384,137,1,0
2,8,200,208,16384,147,0,1344
2,8,209,166,-16384,189,0,32
2,8,166,167,0,186,0,0
2,8,51,52,-32768,69,0,0
2,8,205,51,-16384,141,1,144
2,8,52,184,16384,215,0,0
2,8,97,204,-16384,113,0,0
2,8,184,96,-32768,214,0,0
2,8,118,115,0,131,0,0
2,8,114,119,-24576,200,0,0
2,8,210,114,25522,127,0,22
2,8,119,120,-9137,132,0,0
2,8,120,121,-22020,133,0,0
2,8,152,150,16384,171,0,0
2,8,211,212,16384,147,0,1792
2,8,151,153,-16384,173,0,0
2,8,150,151,-32768,170,0,0
2,8,153,152,0,172,0,0
2,8,115,116,16384,128,0,0
2,8,157,156,0,176,0,0
2,8,117,118,-16384,130,0,0
2,8,212,213,16384,147,0,2432
2,8,116,117,-32768,129,0,0
2,8,126,193,-5435,145,0,0
2,8,127,126,5431,146,0,0
2,8,214,127,16384,147,0,3072
2,8,154,155,-32768,174,0,0
2,8,156,154,16384,175,0,0
2,8,213,214,16384,147,0,2944
2,8,155,157,-16384,177,0,0
2,8,189,80,-32768,98,0,128
2,8,111,112,-32768,125,0,0
2,8,174,175,0,194,0,0
2,8,175,176,16384,195,0,0
2,8,176,177,-32768,196,0,0
2,8,177,174,-16384,197,0,0
2,8,45,44,-29412,61,0,0
2,8,49,47,29412,64,0,0
2,8,44,49,-32768,66,0,0
2,8,47,45,0,140,0,0
2,8,8,7,-32768,7,1,0
2,8,44,8,-16384,60,0,0
2,8,7,49,16384,65,0,0
2,8,49,44,0,66,1,0
2,8,46,45,-16384,62,0,0
2,8,47,48,16384,63,0,0
2,8,45,47,-32768,140,1,0
2,8,48,178,0,202,0,0
2,8,179,46,0,205,0,0
2,8,80,81,-24576,99,0,0
2,8,110,111,24576,124,0,0
2,8,81,110,-32768,136,0,0
2,8,110,81,0,136,1,0
2,8,178,110,16384,203,0,0
2,8,81,179,-16384,204,0,0
2,8,112,113,-27131,126,0,0
2,8,113,210,25501,127,0,0
2,8,121,215,-16384,134,0,0
2,8,5,6,8192,5,0,0
2,8,30,29,-16384,36,0,0
2,8,31,30,-16384,37,0,0
2,8,6,31,-16384,38,0,0
2,8,35,36,-32768,45,0,0
2,8,36,37,-32768,46,0,0
2,8,37,5,-32768,47,0,0
2,8,54,55,-13028,71,0,0
2,8,205,54,16384,141,0,208
2,8,215,122,-16384,134,0,128
2,8,207,168,16384,187,0,96
2,8,208,211,16384,147,0,1600
2,8,169,209,-16384,189,0,0
2,8,168,169,-32768,188,0,0
2,8,122,123,-8192,135,0,0
2,8,123,206,-16384,137,0,0
2,8,206,123,16384,137,1,80
2,8,53,54,0,70,0,0
2,8,54,205,-16384,141,1,0
2,8,185,53,16384,217,0,0
2,8,123,185,0,216,0,0
2,8,29,28,0,35,0,0
2,8,27,28,-16384,34,1,0
2,8,28,29,-32768,35,1,0
2,8,29,30,16384,36,1,0
2,8,30,27,0,40,0,0
2,8,26,27,-16384,33,1,0
2,8,30,31,16384,37,1,0
2,8,31,26,0,39,0,0
2,8,27,30,-32768,40,1,0
2,8,6,9,0,17,0,0
2,8,9,26,-16384,32,1,0
2,8,31,6,16384,38,1,0
2,8,26,31,-32768,39,1,0
2,8,6,7,16384,6,0,0
2,8,7,8,0,7,0,0
2,8,8,9,-16384,8,0,0
2,8,9,6,-32768,17,1,0
2,8,9,10,-8192,9,0,0
2,8,24,23,-32768,28,0,0
2,8,25,24,-32768,29,0,0
2,8,10,25,-32768,30,0,0
2,8,26,9,16384,32,0,0
2,8,27,26,16384,33,0,0
2,8,28,27,16384,34,0,0
