episode,mission,seg_count,first_seg
2,6,4,0
2,6,1,4
2,6,4,5
2,6,4,9
2,6,2,13
2,6,4,15
2,6,2,19
2,6,3,21
2,6,1,24
2,6,1,25
2,6,1,26
2,6,1,27
2,6,3,28
2,6,4,31
2,6,3,35
2,6,4,38
2,6,1,42
2,6,4,43
2,6,2,47
2,6,3,49
2,6,4,52
2,6,2,56
2,6,4,58
2,6,6,62
2,6,1,68
2,6,6,69
2,6,4,75
2,6,4,79
2,6,4,83
2,6,2,87
2,6,1,89
2,6,2,90
2,6,4,92
2,6,4,96
2,6,4,100
2,6,6,104
2,6,4,110
2,6,1,114
2,6,6,115
2,6,4,121
2,6,6,125
2,6,4,131
2,6,4,135
2,6,4,139
2,6,1,143
2,6,4,144
2,6,3,148
2,6,2,151
2,6,2,153
2,6,1,155
2,6,4,156
2,6,2,160
2,6,4,162
2,6,2,166
2,6,3,168
2,6,1,171
2,6,1,172
2,6,1,173
2,6,4,174
2,6,1,178
2,6,2,179
2,6,3,181
2,6,4,184
2,6,9,188
2,6,4,197
2,6,3,201
2,6,5,204
2,6,2,209
2,6,3,211
2,6,2,214
2,6,3,216
2,6,3,219
2,6,3,222
2,6,3,225
2,6,3,228
2,6,2,231
2,6,6,233
2,6,6,239
2,6,4,245
2,6,4,249
2,6,4,253
2,6,4,257
2,6,4,261
2,6,6,265
2,6,3,271
2,6,4,274
2,6,4,278
2,6,4,282
2,6,4,286
2,6,4,290
2,6,5,294
2,6,2,299
2,6,5,301
2,6,3,306
2,6,3,309
2,6,5,312
2,6,4,317
2,6,4,321
2,6,4,325
2,6,4,329
2,6,4,333
2,6,4,337
2,6,2,341
2,6,4,343
2,6,2,347
2,6,1,349
2,6,1,350
2,6,1,351
2,6,1,352
2,6,1,353
2,6,1,354
2,6,2,355
2,6,1,357
2,6,1,358
2,6,1,359
2,6,1,360
2,6,1,361
2,6,1,362
2,6,2,363
2,6,1,365
2,6,1,366
2,6,1,367
2,6,1,368
2,6,1,369
2,6,1,370
2,6,1,371
2,6,2,372
2,6,3,374
2,6,2,377
2,6,1,379
2,6,1,380
2,6,1,381
2,6,1,382
2,6,3,383
2,6,1,386
2,6,1,387
2,6,1,388
2,6,1,389
2,6,1,390
2,6,1,391
2,6,5,392
2,6,2,397
2,6,3,399
2,6,3,402
2,6,1,405
2,6,1,406
2,6,4,407
2,6,3,411
2,6,2,414
2,6,4,416
2,6,6,420
2,6,3,426
2,6,4,429
2,6,4,433
2,6,3,437
2,6,6,440
2,6,2,446
2,6,6,448
2,6,3,454
2,6,3,457
2,6,2,460
2,6,4,462
2,6,2,466
2,6,3,468
2,6,1,471
2,6,3,472
2,6,4,475
2,6,2,479
2,6,4,481
2,6,1,485
2,6,5,486
2,6,1,491
2,6,4,492
2,6,3,496
2,6,3,499
2,6,3,502
2,6,2,505
2,6,5,507
2,6,2,512
2,6,1,514
2,6,3,515
2,6,1,518
2,6,2,519
2,6,3,521
2,6,3,524
2,6,3,527
2,6,3,530
2,6,6,533
2,6,3,539
2,6,5,542
2,6,1,547
2,6,3,548
2,6,3,551
2,6,4,554
2,6,4,558
2,6,5,562
2,6,3,567
2,6,4,570
2,6,1,574
2,6,3,575
2,6,1,578
2,6,3,579
2,6,4,582
2,6,3,586
2,6,4,589
2,6,1,593
2,6,5,594
2,6,3,599
2,6,3,602
2,6,6,605
2,6,5,611
2,6,4,616
2,6,4,620
2,6,4,624
2,6,4,628
2,6,3,632
2,6,6,635
2,6,4,641
2,6,6,645
2,6,4,651
2,6,4,655
2,6,4,659
2,6,4,663
2,6,4,667
2,6,4,671
2,6,4,675
2,6,2,679
2,6,1,681
2,6,5,682
2,6,4,687
2,6,4,691
2,6,1,695
2,6,2,696
2,6,5,698
2,6,1,703
2,6,2,704
2,6,3,706
2,6,1,709
2,6,1,710
2,6,1,711
2,6,1,712
2,6,3,713
2,6,2,716
2,6,3,718
2,6,2,721
2,6,5,723
2,6,2,728
2,6,4,730
2,6,3,734
2,6,4,737
2,6,4,741
2,6,4,745
2,6,1,749
2,6,2,750
2,6,3,752
2,6,4,755
2,6,2,759
2,6,3,761
2,6,1,764
2,6,3,765
2,6,3,768
2,6,4,771
2,6,3,775
2,6,1,778
2,6,7,779
2,6,3,786
2,6,2,789
2,6,4,791
2,6,2,795
2,6,5,797
2,6,4,802
2,6,5,806
2,6,4,811
2,6,5,815
2,6,3,820
2,6,3,823
2,6,4,826
2,6,6,830
2,6,6,836
2,6,4,842
2,6,4,846
2,6,3,850
2,6,4,853
2,6,4,857
2,6,3,861
2,6,2,864
2,6,4,866
2,6,4,870
2,6,3,874
2,6,2,877
2,6,3,879
2,6,4,882
2,6,3,886
2,6,4,889
2,6,4,893
2,6,4,897
2,6,5,901
2,6,4,906
2,6,4,910
2,6,1,914
2,6,5,915
2,6,4,920
2,6,4,924
2,6,3,928
2,6,1,931
2,6,3,932
2,6,1,935
2,6,3,936
2,6,3,939
2,6,1,942
2,6,4,943
2,6,4,947
2,6,4,951
2,6,1,955
2,6,1,956
2,6,2,957
2,6,1,959
2,6,4,960
2,6,2,964
2,6,3,966
2,6,4,969
2,6,4,973
2,6,3,977
2,6,2,980
2,6,3,982
2,6,4,985
2,6,6,989
2,6,2,995
2,6,2,997
2,6,2,999
2,6,3,1001
2,6,2,1004
2,6,2,1006
2,6,1,1008
2,6,2,1009
2,6,1,1011
2,6,3,1012
2,6,4,1015
2,6,4,1019
2,6,4,1023
2,6,4,1027
2,6,3,1031
2,6,2,1034
2,6,4,1036
2,6,1,1040
2,6,3,1041
2,6,3,1044
2,6,4,1047
2,6,2,1051
2,6,1,1053
2,6,4,1054
2,6,1,1058
2,6,3,1059
2,6,4,1062
2,6,1,1066
2,6,10,1067
2,6,3,1077
2,6,4,1080
2,6,4,1084
2,6,1,1088
2,6,5,1089
2,6,2,1094
2,6,4,1096
2,6,5,1100
2,6,3,1105
2,6,5,1108
2,6,1,1113
2,6,6,1114
2,6,2,1120
2,6,4,1122
2,6,4,1126
2,6,4,1130
2,6,2,1134
2,6,7,1136
2,6,4,1143
2,6,11,1147
2,6,3,1158
2,6,1,1161
2,6,2,1162
2,6,3,1164
2,6,1,1167
2,6,1,1168
2,6,4,1169
2,6,2,1173
2,6,3,1175
2,6,2,1178
2,6,1,1180
2,6,2,1181
2,6,2,1183
2,6,4,1185
2,6,2,1189
2,6,3,1191
2,6,3,1194
2,6,4,1197
2,6,3,1201
2,6,2,1204
2,6,2,1206
2,6,2,1208
2,6,3,1210
2,6,5,1213
2,6,4,1218
2,6,4,1222
2,6,2,1226
2,6,4,1228
2,6,2,1232
2,6,1,1234
2,6,3,1235
2,6,2,1238
2,6,1,1240
2,6,1,1241
2,6,5,1242
2,6,5,1247
2,6,1,1252
2,6,1,1253
2,6,4,1254
2,6,3,1258
2,6,4,1261
2,6,7,1265
2,6,4,1272
2,6,3,1276
2,6,4,1279
2,6,9,1283
2,6,4,1292
2,6,2,1296
2,6,2,1298
2,6,4,1300
2,6,4,1304
2,6,3,1308
2,6,4,1311
2,6,3,1315
2,6,4,1318
2,6,6,1322
2,6,1,1328
2,6,4,1329
2,6,4,1333
2,6,2,1337
2,6,4,1339
2,6,4,1343
2,6,2,1347
2,6,5,1349
2,6,5,1354
2,6,5,1359
2,6,4,1364
2,6,3,1368
2,6,3,1371
2,6,4,1374
2,6,3,1378
2,6,2,1381
2,6,4,1383
2,6,1,1387
2,6,4,1388
2,6,2,1392
2,6,1,1394
2,6,3,1395
2,6,2,1398
2,6,1,1400
2,6,3,1401
2,6,2,1404
2,6,1,1406
2,6,2,1407
