episode,mission,x_position,y_position,direction,type,flags
1,6,-32,-1376,90,2,7
1,6,-96,-1376,90,3,7
1,6,-160,-1376,90,4,7
1,6,32,-1376,90,1,7
1,6,-2080,-2368,0,2013,7
1,6,-1536,-1728,0,5,7
1,6,-1136,-1248,225,3001,6
1,6,-1072,-1328,225,3001,4
1,6,-1072,-1264,225,3002,7
1,6,1680,-1344,0,13,7
1,6,1088,-608,0,6,7
1,6,800,-608,90,3001,7
1,6,752,-608,90,3001,6
1,6,848,-608,90,3001,4
1,6,864,-672,90,9,15
1,6,736,-672,90,9,14
1,6,800,-704,90,3002,14
1,6,848,-752,90,3002,12
1,6,752,-768,90,3002,12
1,6,832,-816,90,58,14
1,6,736,-720,90,2035,15
1,6,736,-816,90,2012,15
1,6,896,-944,90,2024,15
1,6,1280,-1536,90,2002,15
1,6,800,-944,90,8,15
1,6,1440,-1424,90,2035,15
1,6,1360,-1424,90,2035,15
1,6,1328,-1296,90,2035,15
1,6,976,-1424,90,2035,15
1,6,1072,-1424,90,2035,15
1,6,1168,-1312,90,2035,15
1,6,1248,-1312,90,2035,15
1,6,1728,-1792,135,3001,14
1,6,1632,-1872,135,3001,14
1,6,1280,-1920,90,3001,14
1,6,1088,-1920,90,3001,14
1,6,704,-1664,0,3001,14
1,6,1248,-880,270,3001,14
1,6,1792,-1296,180,3001,14
1,6,1792,-1184,180,3001,14
1,6,1792,-1360,180,58,12
1,6,1184,-880,270,58,12
1,6,1184,-1920,90,58,12
1,6,656,-1696,0,58,12
1,6,1024,-1920,90,9,15
1,6,1248,-928,270,9,15
1,6,1792,-1120,180,9,15
1,6,1680,-1824,135,9,15
1,6,656,-1632,0,9,15
1,6,1664,-1472,180,3004,15
1,6,1472,-1056,180,3004,14
1,6,1088,-1776,90,3004,15
1,6,1152,-1056,270,3004,14
1,6,1696,-1216,180,3004,15
1,6,1728,-1888,180,2012,11
1,6,1792,-1232,180,2012,11
1,6,1360,-1920,180,2008,15
1,6,704,-1616,180,2008,15
1,6,1296,-1616,180,2048,15
1,6,1488,-1136,180,2049,15
1,6,1680,-1392,180,2008,15
1,6,1088,-1472,180,2048,15
1,6,1536,-1216,180,2048,15
1,6,992,-944,180,2003,15
1,6,-544,-1376,180,2001,15
1,6,-544,-1328,180,2049,15
1,6,1184,-928,90,2012,15
1,6,976,-1952,90,2012,15
1,6,-560,-1168,90,2011,15
1,6,-448,-1168,90,2011,11
1,6,-384,-1136,90,2011,11
1,6,192,-1136,90,2011,11
1,6,304,-1376,90,2011,15
1,6,288,-1184,90,2011,15
1,6,-832,-1024,45,3004,7
1,6,-640,-832,0,3004,7
1,6,-896,-960,0,3004,6
1,6,-448,-768,0,9,6
1,6,-832,-1152,45,9,4
1,6,-960,-1152,45,58,4
1,6,-1200,-1760,180,2012,15
1,6,-1152,-1712,180,2019,15
1,6,32,-128,180,2018,15
1,6,-160,-128,180,2011,15
1,6,-192,-96,180,2008,15
1,6,64,-96,180,2015,15
1,6,64,-160,180,2014,15
1,6,-192,-160,180,2015,15
1,6,96,-128,270,9,15
1,6,-224,-128,270,3002,14
1,6,-64,320,270,3002,14
1,6,-64,608,270,58,12
1,6,-416,128,0,3001,15
1,6,288,128,180,3001,14
1,6,-384,-64,270,3001,6
1,6,256,-64,270,3001,4
1,6,1280,-256,180,3004,7
1,6,1600,-192,180,9,6
1,6,1664,-256,180,2008,7
1,6,896,-192,180,2008,7
1,6,-384,-352,180,2008,7
1,6,-256,176,180,2008,7
1,6,496,96,180,2008,7
1,6,-512,576,180,2008,7
1,6,2304,-544,90,3001,15
1,6,2336,-576,0,3001,14
1,6,2688,-736,0,3001,15
1,6,1952,-576,90,3004,15
1,6,2144,-960,90,9,14
1,6,2144,-1408,90,3001,14
1,6,2848,-1152,90,3001,6
1,6,2496,-1280,90,3001,6
1,6,2400,-1792,90,3001,7
1,6,3328,-1472,90,3001,7
1,6,1920,-1952,90,3001,7
1,6,1856,-1664,90,9,4
1,6,2528,-2208,180,9,15
1,6,2720,-2208,0,9,15
1,6,2752,-1792,180,9,14
1,6,2624,-2240,180,2049,15
1,6,1824,-1984,180,2008,15
1,6,3104,-1664,180,2008,15
1,6,3216,-1232,180,2048,15
1,6,1216,-512,180,8,15
1,6,3456,-1536,180,2026,15
1,6,2304,-192,180,2008,15
1,6,2496,-512,180,2008,15
1,6,1040,-704,180,2008,15
1,6,1152,-512,180,2008,15
1,6,-320,-1472,180,2046,15
1,6,-384,-1472,180,2046,15
1,6,-256,-1536,180,2024,15
1,6,-320,-1536,180,2045,15
1,6,-192,-1728,180,2015,15
1,6,-832,-1696,180,2015,15
1,6,-768,-1856,180,2014,15
1,6,-192,-1600,180,2014,15
1,6,-880,-2016,180,2015,15
1,6,-256,-1600,180,2015,15
1,6,-1120,-1744,180,2014,15
1,6,-768,-2016,180,2014,15
1,6,-496,-1728,180,2014,15
1,6,-336,-1760,180,2007,15
1,6,-560,-1680,180,2007,15
1,6,-624,-1776,180,2007,15
1,6,-1552,-1360,180,2025,15
1,6,-1920,-2368,180,2015,15
1,6,-1968,-2368,180,2015,15
1,6,-2016,-2368,180,2015,15
1,6,-1472,-1664,45,9,15
1,6,-1504,-1600,45,3004,14
1,6,-1408,-1696,45,9,12
1,6,-1344,-1664,45,2008,15
1,6,-1040,-1232,45,2008,15
1,6,-1040,-1344,45,2011,15
1,6,-1120,-1296,45,2011,15
1,6,-960,-1600,45,3004,14
1,6,-1408,-1152,45,3004,14
1,6,-1280,-1056,0,9,12
1,6,-864,-1472,90,9,12
1,6,-1152,-1408,90,2014,15
1,6,-1184,-1376,90,2015,15
1,6,-1216,-1344,90,2014,15
1,6,-1248,-1312,90,2015,15
1,6,-1376,-1408,90,2011,15
1,6,-960,-1664,90,2011,15
1,6,-64,480,90,2012,11
1,6,-192,384,90,2011,15
1,6,-64,1280,270,58,12
1,6,128,768,0,3004,7
1,6,-320,768,180,3004,7
1,6,-576,768,270,3004,7
1,6,448,640,270,3004,7
1,6,192,576,0,9,6
1,6,-320,576,180,9,6
1,6,320,768,180,2008,7
1,6,-64,912,180,2008,7
1,6,320,992,180,2025,7
