episode,mission,number,x_position,y_position
3,8,0,96,-1344
3,8,1,96,-512
3,8,2,96,-1360
3,8,3,24,-1448
3,8,4,160,-1560
3,8,5,296,-1448
3,8,6,224,-1360
3,8,7,224,-1344
3,8,8,224,-512
3,8,9,256,-512
3,8,10,448,-320
3,8,11,704,-512
3,8,12,704,-960
3,8,13,1984,-1152
3,8,14,1792,128
3,8,15,1408,128
3,8,16,1152,384
3,8,17,1152,896
3,8,18,1408,1152
3,8,19,1792,1152
3,8,20,1984,2432
3,8,21,704,2240
3,8,22,704,1856
3,8,23,448,1600
3,8,24,-128,1600
3,8,25,-384,1856
3,8,26,-384,2240
3,8,27,-1728,2432
3,8,28,-1536,1152
3,8,29,-1088,1152
3,8,30,-832,896
3,8,31,-832,384
3,8,32,-1088,128
3,8,33,-1536,128
3,8,34,-1728,-1152
3,8,35,-384,-960
3,8,36,-384,-512
3,8,37,-128,-320
3,8,38,64,-512
3,8,39,-512,-448
3,8,40,-512,-832
3,8,41,-1600,-1024
3,8,42,-1408,0
3,8,43,-1024,0
3,8,44,-704,320
3,8,45,-704,960
3,8,46,-1024,1280
3,8,47,-1408,1280
3,8,48,-1600,2304
3,8,49,-512,2112
3,8,50,-512,1792
3,8,51,-192,1472
3,8,52,512,1472
3,8,53,832,1792
3,8,54,832,2112
3,8,55,1856,2304
3,8,56,1664,1280
3,8,57,1344,1280
3,8,58,1024,960
3,8,59,1024,320
3,8,60,1344,0
3,8,61,1664,0
3,8,62,1856,-1024
3,8,63,832,-832
3,8,64,832,-448
3,8,65,576,-192
3,8,66,-256,-192
3,8,67,352,720
3,8,68,312,792
3,8,69,240,832
3,8,70,80,832
3,8,71,8,792
3,8,72,-32,720
3,8,73,-32,560
3,8,74,8,488
3,8,75,80,448
3,8,76,240,448
3,8,77,312,488
3,8,78,352,560
3,8,79,-16,704
3,8,80,-16,576
3,8,81,96,464
3,8,82,224,464
3,8,83,336,576
3,8,84,336,704
3,8,85,224,816
3,8,86,96,816
3,8,87,0,704
3,8,88,32,768
3,8,89,96,800
3,8,90,224,800
3,8,91,288,768
3,8,92,320,704
3,8,93,96,480
3,8,94,32,512
3,8,95,0,576
3,8,96,320,576
3,8,97,224,480
3,8,98,288,512
3,8,99,-128,1408
3,8,100,-64,1344
3,8,101,0,1280
3,8,102,320,1280
3,8,103,384,1344
3,8,104,448,1408
3,8,105,-1621,2416
3,8,106,-512,2258
3,8,107,-1555,1280
3,8,108,1968,2325
3,8,109,1811,1280
3,8,110,832,2259
3,8,111,704,1664
3,8,112,-384,1664
3,8,113,320,1472
3,8,114,-320,1600
3,8,115,-896,1152
3,8,116,-1555,0
3,8,117,-896,128
3,8,118,-704,768
3,8,119,-832,192
3,8,120,1811,0
3,8,121,1216,128
3,8,122,1216,1152
3,8,123,1024,512
3,8,124,1152,1088
3,8,125,224,448
3,8,126,352,704
3,8,127,-32,704
3,8,128,1877,-1136
3,8,129,832,-979
3,8,130,96,-192
3,8,131,832,-512
3,8,132,-1711,-1043
3,8,133,-512,-978
3,8,134,-512,-608
